MONTH,YEAR,AVG_TEMP,AVG_HIGHS,MAX_TEMP,PRECIPITATION,
1,2007,33.4,58.9,69.1,0.06, 
2,2007,53.1,63.5,77.0,3.42,
3,2007,61.0,75.2,84.9,0.07,
4,2007,63.0,77.0,91.9,1.66,
5,2007,70.9,87.5,98.1,0.30,
6,2007,76.3,93.1,104.0,0.00,
7,2007,79.0,96.8,108.0,0.16,
8,2007,78.9,97.6,109.9,0.00,
9,2007,72.4,88.1,107.1,0.59,
10,2007,63.5,76.5,87.1,1.25,
11,2007,58.3,72.4,82.0,0.64,
12,2007,47.4,57.2,68.0,3.80,
1,2008,46.1,53.9,62.1,13.16,
2,2008,51.0,61.9,73.9,3.45,
3,2008,58.4,71.8,81.0,0.04,
4,2008,62.4,77.4,95.0,0.00,
5,2008,71.1,86.4,108.0,0.09,
6,2008,76.5,93.4,106.0,0.00,
7,2008,78.7,96.3,108.0,0.00,
8,2008,79.2,97.7,107.1,0.00,
9,2008,74.8,92.8,104.0,0.00,
10,2008,67.2,83.0,93.9,0.49,
11,2008,57.9,69.5,82.9,2.00,
12,2008,45.7,55.8,69.1,2.73,
1,2009,49.5,62.3,78.1,1.20,
2,2009,50.7,60.4,73.0,8.00,
3,2009,56.8,68.9,84.0,2.07,
4,2009,62.4,77.0,99.0,0.69,
5,2009,72.1,88.6,106.0,0.66,
6,2009,74.6,90.5,111.0,0.37,
7,2009,78.8,98.3,107.1,0.00,
8,2009,78.8,96.8,106.0,0.00,
9,2009,78.6,96.8,106.0,0.10,
10,2009,64.5,77.2,89.1,4.37,
11,2009,55.8,69.2,84.0,0.27,
12,2009,46.7,56.3,66.0,2.10,
1,2010,48.0,54.9,68.0,9.60,
2,2010,52.7,61.9,73.0,4.55,
3,2010,56.2,69.1,82.9,1.61,
4,2010,57.9,69.5,88.0,4.16,
5,2010,61.8,75.2,91.9,0.48,
6,2010,74.2,88.5,102.0,0.00,
7,2010,74.7,91.7,102.9,0.00,
8,2010,74.8,92.4,109.0,0.00,
9,2010,74.3,90.7,106.0,0.03,
10,2010,64.5,76.5,96.1,1.50,
11,2010,56.0,67.4,82.0,2.11,
12,2010,50.2,57.2,68.0,6.79,
1,2011,46.4,55.9,73.9,1.98,
2,2011,50.2,61.7,78.1,4.44,
3,2011,53.8,63.3,84.0,9.07,
4,2011,61.2,74.3,82.9,0.11,
5,2011,64.3,77.8,93.0,1.27,
6,2011,71.2,85.4,104.0,1.91,
7,2011,77.3,93.9,102.9,0.00,
8,2011,75.5,93.7,100.0,0.00,
9,2011,77.3,94.9,102.0,0.04,
10,2011,66.6,81.1,90.0,0.68,
11,2011,52.5,63.7,84.0,1.46,
12,2011,48.2,61.6,73.9,0.40,
1,2012,49.1,63.2,71.1,3.87,
2,2012,54.0,66.3,81.0,0.76,
3,2012,54.6,64.6,80.1,4.85,
4,2012,61.4,73.3,91.0,2.06,
5,2012,70.0,84.4,96.1,0.00,
6,2012,74.4,89.3,106.0,0.01,
7,2012,76.7,93.9,106.0,0.00,
8,2012,79.1,98.6,107.1,0.00,
9,2012,73.5,92.1,97.0,0.00,
10,2012,66.1,80.0,98.1,1.02,
11,2012,55.9,67.5,81.0,5.61,
12,2012,47.9,56.8,69.1,8.11,
1,2013,44.9,57.4,68.0,0.72,
2,2013,50.6,64.7,73.0,0.16,
3,2013,58.2,72.2,82.0,0.57,
4,2013,65.9,79.0,93.9,1.18,
5,2013,70.1,83.5,96.1,0.63,
6,2013,75.5,89.7,107.1,0.17,
7,2013,79.3,96.6,109.0,0.00,
8,2013,76.1,92.5,100.0,0.00,
9,2013,73.5,88.0,104.0,0.59,
10,2013,64.0,79.9,87.1,0.00,
11,2013,56.7,69.8,81.0,0.74,
12,2013,46.4,61.3,78.1,0.49,
1,2014,52.3,68.2,77.0,0.10,
2,2014,54.4,64.5,75.9,6.56,
3,2014,59.4,70.7,82.0,1.61,
4,2014,61.8,75.5,86.0,2.89,
5,2014,70.7,86.8,98.1,0.00,
6,2014,75.8,93.0,106.0,0.00,
7,2014,79.9,96.7,109.0,0.00,
8,2014,77.6,94.6,108.0,0.04,
9,2014,75.7,92.8,102.9,0.44,
10,2014,68.5,84.5,99.0,0.10,
11,2014,55.8,68.0,80.1,1.56,
12,2014,52.5,58.7,68.0,9.96,
1,2015,49.4,60.7,73.0,0.06,
2,2015,56.9,68.6,75.0,4.33,
3,2015,61.2,75.4,86.0,0.16,
4,2015,61.9,76.4,88.0,1.09,
5,2015,65.8,80.0,93.9,0.03,
6,2015,76.4,93.3,104.0,0.01,
7,2015,79.3,95.2,107.1,0.00,
8,2015,78.0,95.0,105.1,0.00,
9,2015,75.7,92.6,109.9,0.02,
10,2015,70.3,85.6,96.1,0.19,
11,2015,52.2,64.4,86.0,1.31,
12,2015,47.2,56.4,66.0,2.68,
1,2016,49.5,56.5,66.9,6.88,
2,2016,55.0,68.0,84.0,0.56,
3,2016,57.5,67.7,78.1,7.27,
4,2016,63.4,76.8,90.0,0.77,
5,2016,68.4,82.3,98.1,0.31,
6,2016,75.8,93.2,106.0,0.00,
7,2016,77.7,96.2,106.0,0.00,
8,2016,75.4,94.5,104.0,0.00,
9,2016,72.3,90.4,99.0,0.00,
10,2016,62.6,76.0,90.0,2.18,
11,2016,55.5,66.8,78.1,1.62,
12,2016,45.6,55.7,63.0,3.82,
1,2017,46.5,55.0,61.0,17.03,
2,2017,52.6,60.7,66.9,11.27,
3,2017,58.0,69.8,81.0,3.55,
4,2017,60.3,71.2,82.0,2.87,
5,2017,69.0,83.4,100.0,0.03,
6,2017,75.9,91.6,106.0,0.09,
7,2017,78.9,97.7,106.0,0.00,
8,2017,79.0,96.7,108.0,0.01,
9,2017,74.8,90.6,109.9,0.00,
10,2017,64.6,82.6,91.9,0.08,
11,2017,55.0,65.5,73.0,1.87,
12,2017,48.6,62.4,70.0,0.01,
1,2018,49.9,59.0,68.0,4.17,
2,2018,53.5,68.0,82.9,0.27,
3,2018,53.9,65.8,84.0,4.67,
4,2018,60.9,74.2,86.0,2.18,
5,2018,67.9,82.6,99.0,0.02,
6,2018,74.4,91.2,100.0,0.00,
7,2018,79.7,97.7,105.1,0.00,
8,2018,75.0,93.0,102.0,0.00,
9,2018,72.0,90.8,98.1,0.00,
10,2018,66.8,82.2,89.1,0.08,
11,2018,56.3,71.0,87.1,4.31,
12,2018,49.8,59.6,66.9,2.36,
